ID,Link,Similarity,Tokens,File 1,File 2,Start 1,End 1,Detected Lines 1,Start 2,End 2,Detected Lines 2
27041,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Python/sonnet-MDEwOlJlcG9zaXRvcnk4NzA2NzIxMg==-flat-resnet_8.py-sonnet-MDEwOlJlcG9zaXRvcnk4NzA2NzIxMg==-flat-recurrent.py.html,0.060873400970445524,9,sonnet-MDEwOlJlcG9zaXRvcnk4NzA2NzIxMg==-flat-resnet_8.py,sonnet-MDEwOlJlcG9zaXRvcnk4NzA2NzIxMg==-flat-recurrent.py,105,107,2,561,562,1
27180,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Python/seq2seq-MDEwOlJlcG9zaXRvcnk4MzczMjgwNg==-flat-conv_encoder_test.py-seq2seq-MDEwOlJlcG9zaXRvcnk4MzczMjgwNg==-flat-metrics_test.py.html,0.06077348066298342,11,seq2seq-MDEwOlJlcG9zaXRvcnk4MzczMjgwNg==-flat-conv_encoder_test.py,seq2seq-MDEwOlJlcG9zaXRvcnk4MzczMjgwNg==-flat-metrics_test.py,1,9,8,4,12,8
27246,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Python/sonnet-MDEwOlJlcG9zaXRvcnk4NzA2NzIxMg==-flat-metrics.py-sonnet-MDEwOlJlcG9zaXRvcnk4NzA2NzIxMg==-flat-base.py.html,0.03389830508474576,9,sonnet-MDEwOlJlcG9zaXRvcnk4NzA2NzIxMg==-flat-metrics.py,sonnet-MDEwOlJlcG9zaXRvcnk4NzA2NzIxMg==-flat-base.py,41,44,3,80,82,2
27326,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Python/sonnet-MDEwOlJlcG9zaXRvcnk4NzA2NzIxMg==-flat-saved_model_test.py-sonnet-MDEwOlJlcG9zaXRvcnk4NzA2NzIxMg==-flat-bias.py.html,0.0782608695652174,9,sonnet-MDEwOlJlcG9zaXRvcnk4NzA2NzIxMg==-flat-saved_model_test.py,sonnet-MDEwOlJlcG9zaXRvcnk4NzA2NzIxMg==-flat-bias.py,2,9,7,1,8,7
28231,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Python/Ultroid-MDEwOlJlcG9zaXRvcnkzNDEwMzg2MDI=-flat-qrcode.py-Ultroid-MDEwOlJlcG9zaXRvcnkzNDEwMzg2MDI=-flat-calculator.py.html,0.079002079002079,10,Ultroid-MDEwOlJlcG9zaXRvcnkzNDEwMzg2MDI=-flat-qrcode.py,Ultroid-MDEwOlJlcG9zaXRvcnkzNDEwMzg2MDI=-flat-calculator.py,41,44,3,43,46,3
29102,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Python/Ultroid-MDEwOlJlcG9zaXRvcnkzNDEwMzg2MDI=-flat-games.py-esptool-MDEwOlJlcG9zaXRvcnkyMzczNjkxNA==-flat-fields_12.py.html,0.043134435657800146,9,Ultroid-MDEwOlJlcG9zaXRvcnkzNDEwMzg2MDI=-flat-games.py,esptool-MDEwOlJlcG9zaXRvcnkyMzczNjkxNA==-flat-fields_12.py,236,238,2,281,284,3
29410,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Python/esptool-MDEwOlJlcG9zaXRvcnkyMzczNjkxNA==-flat-__init___47.py-Ultroid-MDEwOlJlcG9zaXRvcnkzNDEwMzg2MDI=-flat-gDrive.py.html,0.05442176870748299,12,esptool-MDEwOlJlcG9zaXRvcnkyMzczNjkxNA==-flat-__init___47.py,Ultroid-MDEwOlJlcG9zaXRvcnkzNDEwMzg2MDI=-flat-gDrive.py,1,12,11,1,12,11
29721,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Python/google-api-python-client-MDEwOlJlcG9zaXRvcnkxNTc0OTI2OQ==-flat-test_mocks.py-yolact-MDEwOlJlcG9zaXRvcnkxMzg3OTY2OTk=-flat-multibox_loss.py.html,0.05259697567389875,11,google-api-python-client-MDEwOlJlcG9zaXRvcnkxNTc0OTI2OQ==-flat-test_mocks.py,yolact-MDEwOlJlcG9zaXRvcnkxMzg3OTY2OTk=-flat-multibox_loss.py,24,27,3,147,149,2
30650,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Python/wxpy-MDEwOlJlcG9zaXRvcnk4MjU4ODU5Nw==-flat-console.py-Ultroid-MDEwOlJlcG9zaXRvcnkzNDEwMzg2MDI=-flat-utilities.py.html,0.027314112291350532,9,wxpy-MDEwOlJlcG9zaXRvcnk4MjU4ODU5Nw==-flat-console.py,Ultroid-MDEwOlJlcG9zaXRvcnkzNDEwMzg2MDI=-flat-utilities.py,52,56,4,94,98,4
31611,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Python/seq2seq-MDEwOlJlcG9zaXRvcnk4MzczMjgwNg==-flat-conv_encoder_test.py-yolact-MDEwOlJlcG9zaXRvcnkxMzg3OTY2OTk=-flat-yolact.py.html,0.03838517538054269,9,seq2seq-MDEwOlJlcG9zaXRvcnk4MzczMjgwNg==-flat-conv_encoder_test.py,yolact-MDEwOlJlcG9zaXRvcnkxMzg3OTY2OTk=-flat-yolact.py,11,14,3,71,75,4
31714,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Python/practical-python-MDEwOlJlcG9zaXRvcnkyNjY2MTM3MDQ=-flat-stock_66.py-practical-python-MDEwOlJlcG9zaXRvcnkyNjY2MTM3MDQ=-flat-typedproperty_65.py.html,0.38461538461538464,15,practical-python-MDEwOlJlcG9zaXRvcnkyNjY2MTM3MDQ=-flat-stock_66.py,practical-python-MDEwOlJlcG9zaXRvcnkyNjY2MTM3MDQ=-flat-typedproperty_65.py,2,9,7,16,23,7
31888,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Python/esptool-MDEwOlJlcG9zaXRvcnkyMzczNjkxNA==-flat-__init___50.py-Ultroid-MDEwOlJlcG9zaXRvcnkzNDEwMzg2MDI=-flat-pmpermit.py.html,0.03169014084507042,9,esptool-MDEwOlJlcG9zaXRvcnkyMzczNjkxNA==-flat-__init___50.py,Ultroid-MDEwOlJlcG9zaXRvcnkzNDEwMzg2MDI=-flat-pmpermit.py,118,120,2,137,142,5
31956,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Python/yolact-MDEwOlJlcG9zaXRvcnkxMzg3OTY2OTk=-flat-box_utils.py-esptool-MDEwOlJlcG9zaXRvcnkyMzczNjkxNA==-flat-fields_17.py.html,0.07317073170731707,9,yolact-MDEwOlJlcG9zaXRvcnkxMzg3OTY2OTk=-flat-box_utils.py,esptool-MDEwOlJlcG9zaXRvcnkyMzczNjkxNA==-flat-fields_17.py,116,118,2,133,134,1
32044,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Python/sonnet-MDEwOlJlcG9zaXRvcnk4NzA2NzIxMg==-flat-once_test.py-sonnet-MDEwOlJlcG9zaXRvcnk4NzA2NzIxMg==-flat-write_test.py.html,0.11564625850340136,14,sonnet-MDEwOlJlcG9zaXRvcnk4NzA2NzIxMg==-flat-once_test.py,sonnet-MDEwOlJlcG9zaXRvcnk4NzA2NzIxMg==-flat-write_test.py,56,60,4,103,107,4
32161,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Python/Ultroid-MDEwOlJlcG9zaXRvcnkzNDEwMzg2MDI=-flat-devtools.py-esptool-MDEwOlJlcG9zaXRvcnkyMzczNjkxNA==-flat-fields_7.py.html,0.05360824742268041,9,Ultroid-MDEwOlJlcG9zaXRvcnkzNDEwMzg2MDI=-flat-devtools.py,esptool-MDEwOlJlcG9zaXRvcnkyMzczNjkxNA==-flat-fields_7.py,66,71,5,325,334,9
32283,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Python/seq2seq-MDEwOlJlcG9zaXRvcnk4MzczMjgwNg==-flat-beam_search_decoder.py-Ultroid-MDEwOlJlcG9zaXRvcnkzNDEwMzg2MDI=-flat-FastTelethon.py.html,0.0521978021978022,10,seq2seq-MDEwOlJlcG9zaXRvcnk4MzczMjgwNg==-flat-beam_search_decoder.py,Ultroid-MDEwOlJlcG9zaXRvcnkzNDEwMzg2MDI=-flat-FastTelethon.py,32,35,3,268,271,3
32509,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Python/seq2seq-MDEwOlJlcG9zaXRvcnk4MzczMjgwNg==-flat-beam_search.py-Ultroid-MDEwOlJlcG9zaXRvcnkzNDEwMzg2MDI=-flat-_chatactions.py.html,0.07584269662921349,9,seq2seq-MDEwOlJlcG9zaXRvcnk4MzczMjgwNg==-flat-beam_search.py,Ultroid-MDEwOlJlcG9zaXRvcnkzNDEwMzg2MDI=-flat-_chatactions.py,99,101,2,40,44,4
32911,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Python/google-api-python-client-MDEwOlJlcG9zaXRvcnkxNTc0OTI2OQ==-flat-test_json_model.py-esptool-MDEwOlJlcG9zaXRvcnkyMzczNjkxNA==-flat-fields_7.py.html,0.08613938919342208,10,google-api-python-client-MDEwOlJlcG9zaXRvcnkxNTc0OTI2OQ==-flat-test_json_model.py,esptool-MDEwOlJlcG9zaXRvcnkyMzczNjkxNA==-flat-fields_7.py,83,86,3,68,71,3
33010,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Python/seq2seq-MDEwOlJlcG9zaXRvcnk4MzczMjgwNg==-flat-losses_test.py-sonnet-MDEwOlJlcG9zaXRvcnk4NzA2NzIxMg==-flat-base.py.html,0.11836734693877551,10,seq2seq-MDEwOlJlcG9zaXRvcnk4MzczMjgwNg==-flat-losses_test.py,sonnet-MDEwOlJlcG9zaXRvcnk4NzA2NzIxMg==-flat-base.py,29,30,1,33,36,3
33277,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Python/seq2seq-MDEwOlJlcG9zaXRvcnk4MzczMjgwNg==-flat-models_test.py-sonnet-MDEwOlJlcG9zaXRvcnk4NzA2NzIxMg==-flat-reshape_test.py.html,0.056640625,9,seq2seq-MDEwOlJlcG9zaXRvcnk4MzczMjgwNg==-flat-models_test.py,sonnet-MDEwOlJlcG9zaXRvcnk4NzA2NzIxMg==-flat-reshape_test.py,24,25,1,62,63,1
33778,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Python/sonnet-MDEwOlJlcG9zaXRvcnk4NzA2NzIxMg==-flat-dropout_test.py-Ultroid-MDEwOlJlcG9zaXRvcnkzNDEwMzg2MDI=-flat-search.py.html,0.037815126050420166,9,sonnet-MDEwOlJlcG9zaXRvcnk4NzA2NzIxMg==-flat-dropout_test.py,Ultroid-MDEwOlJlcG9zaXRvcnkzNDEwMzg2MDI=-flat-search.py,9,11,2,90,92,2
33868,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Python/esptool-MDEwOlJlcG9zaXRvcnkyMzczNjkxNA==-flat-base_fields.py-google-api-python-client-MDEwOlJlcG9zaXRvcnkxNTc0OTI2OQ==-flat-test_http.py.html,0.05459183673469388,9,esptool-MDEwOlJlcG9zaXRvcnkyMzczNjkxNA==-flat-base_fields.py,google-api-python-client-MDEwOlJlcG9zaXRvcnkxNTc0OTI2OQ==-flat-test_http.py,219,222,3,952,955,3
34281,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Python/Ultroid-MDEwOlJlcG9zaXRvcnkzNDEwMzg2MDI=-flat-ytdl.py-esphome-docs-MDEwOlJlcG9zaXRvcnkxMzMyMjM0NjE=-flat-lint.py.html,0.0973630831643002,9,Ultroid-MDEwOlJlcG9zaXRvcnkzNDEwMzg2MDI=-flat-ytdl.py,esphome-docs-MDEwOlJlcG9zaXRvcnkxMzMyMjM0NjE=-flat-lint.py,245,253,8,31,39,8
34376,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Python/Ultroid-MDEwOlJlcG9zaXRvcnkzNDEwMzg2MDI=-flat-words.py-Ultroid-MDEwOlJlcG9zaXRvcnkzNDEwMzg2MDI=-flat-warn.py.html,0.12840466926070038,9,Ultroid-MDEwOlJlcG9zaXRvcnkzNDEwMzg2MDI=-flat-words.py,Ultroid-MDEwOlJlcG9zaXRvcnkzNDEwMzg2MDI=-flat-warn.py,45,47,2,27,29,2
34398,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Python/sonnet-MDEwOlJlcG9zaXRvcnk4NzA2NzIxMg==-flat-replicator_test.py-yolact-MDEwOlJlcG9zaXRvcnkxMzg3OTY2OTk=-flat-eval.py.html,0.014475271411338963,9,sonnet-MDEwOlJlcG9zaXRvcnk4NzA2NzIxMg==-flat-replicator_test.py,yolact-MDEwOlJlcG9zaXRvcnkxMzg3OTY2OTk=-flat-eval.py,150,152,2,272,276,4
34483,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Python/google-api-python-client-MDEwOlJlcG9zaXRvcnkxNTc0OTI2OQ==-flat-maps_engine.py-Ultroid-MDEwOlJlcG9zaXRvcnkzNDEwMzg2MDI=-flat-asstcmd.py.html,0.04838709677419355,9,google-api-python-client-MDEwOlJlcG9zaXRvcnkxNTc0OTI2OQ==-flat-maps_engine.py,Ultroid-MDEwOlJlcG9zaXRvcnkzNDEwMzg2MDI=-flat-asstcmd.py,41,44,3,14,15,1
34559,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Python/seq2seq-MDEwOlJlcG9zaXRvcnk4MzczMjgwNg==-flat-image2seq.py-esptool-MDEwOlJlcG9zaXRvcnkyMzczNjkxNA==-flat-test_esptool.py.html,0.022535211267605635,10,seq2seq-MDEwOlJlcG9zaXRvcnk4MzczMjgwNg==-flat-image2seq.py,esptool-MDEwOlJlcG9zaXRvcnkyMzczNjkxNA==-flat-test_esptool.py,61,63,2,661,666,5
34832,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Python/yolact-MDEwOlJlcG9zaXRvcnkxMzg3OTY2OTk=-flat-cluster_bbox_sizes.py-sonnet-MDEwOlJlcG9zaXRvcnk4NzA2NzIxMg==-flat-functional_mlp_mnist.py.html,0.15942028985507245,13,yolact-MDEwOlJlcG9zaXRvcnkxMzg3OTY2OTk=-flat-cluster_bbox_sizes.py,sonnet-MDEwOlJlcG9zaXRvcnk4NzA2NzIxMg==-flat-functional_mlp_mnist.py,21,24,3,23,26,3
34930,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Python/yolact-MDEwOlJlcG9zaXRvcnkxMzg3OTY2OTk=-flat-optimize_bboxes.py-Ultroid-MDEwOlJlcG9zaXRvcnkzNDEwMzg2MDI=-flat-callbackstuffs.py.html,0.015478615071283095,10,yolact-MDEwOlJlcG9zaXRvcnkxMzg3OTY2OTk=-flat-optimize_bboxes.py,Ultroid-MDEwOlJlcG9zaXRvcnkzNDEwMzg2MDI=-flat-callbackstuffs.py,32,32,0,165,213,48
35606,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Python/sonnet-MDEwOlJlcG9zaXRvcnk4NzA2NzIxMg==-flat-group_norm.py-sonnet-MDEwOlJlcG9zaXRvcnk4NzA2NzIxMg==-flat-recurrent_test.py.html,0.04896907216494845,9,sonnet-MDEwOlJlcG9zaXRvcnk4NzA2NzIxMg==-flat-group_norm.py,sonnet-MDEwOlJlcG9zaXRvcnk4NzA2NzIxMg==-flat-recurrent_test.py,111,114,3,584,586,2
