ID,Link,Tokens,File 1,File 2,Start 1,End 1,Detected Lines 1,Start 2,End 2,Detected Lines 2
21,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/csharp/MudBlazor-MDEwOlJlcG9zaXRvcnkyODg0Mjg2NzY=-flat-MudBaseDatePicker.razor.cs-MudBlazor-MDEwOlJlcG9zaXRvcnkyODg0Mjg2NzY=-flat-MudBaseDatePicker.razor.cs-21.html,13,MudBlazor-MDEwOlJlcG9zaXRvcnkyODg0Mjg2NzY=-flat-MudBaseDatePicker.razor.cs,MudBlazor-MDEwOlJlcG9zaXRvcnkyODg0Mjg2NzY=-flat-MudBaseDatePicker.razor.cs,324,326,2,330,332,2
22,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/csharp/Security-MDEwOlJlcG9zaXRvcnkxNzcyMzY5OQ==-flat-MicrosoftAccountTests.cs-Security-MDEwOlJlcG9zaXRvcnkxNzcyMzY5OQ==-flat-GoogleTests.cs-22.html,45,Security-MDEwOlJlcG9zaXRvcnkxNzcyMzY5OQ==-flat-MicrosoftAccountTests.cs,Security-MDEwOlJlcG9zaXRvcnkxNzcyMzY5OQ==-flat-GoogleTests.cs,201,205,4,657,661,4
23,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/csharp/dotween-MDEwOlJlcG9zaXRvcnkzMjQ3NTE2Mg==-flat-TestScene.cs-dotween-MDEwOlJlcG9zaXRvcnkzMjQ3NTE2Mg==-flat-TestScene.cs-23.html,138,dotween-MDEwOlJlcG9zaXRvcnkzMjQ3NTE2Mg==-flat-TestScene.cs,dotween-MDEwOlJlcG9zaXRvcnkzMjQ3NTE2Mg==-flat-TestScene.cs,60,71,11,88,99,11
24,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/csharp/MudBlazor-MDEwOlJlcG9zaXRvcnkyODg0Mjg2NzY=-flat-PopoverTests.cs-MudBlazor-MDEwOlJlcG9zaXRvcnkyODg0Mjg2NzY=-flat-PopoverTests.cs-24.html,24,MudBlazor-MDEwOlJlcG9zaXRvcnkyODg0Mjg2NzY=-flat-PopoverTests.cs,MudBlazor-MDEwOlJlcG9zaXRvcnkyODg0Mjg2NzY=-flat-PopoverTests.cs,204,210,6,513,519,6
25,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/csharp/npgsql-MDEwOlJlcG9zaXRvcnkyODgzNTc0-flat-NpgsqlDataReader.cs-npgsql-MDEwOlJlcG9zaXRvcnkyODgzNTc0-flat-NpgsqlNestedDataReader.cs-25.html,73,npgsql-MDEwOlJlcG9zaXRvcnkyODgzNTc0-flat-NpgsqlDataReader.cs,npgsql-MDEwOlJlcG9zaXRvcnkyODgzNTc0-flat-NpgsqlNestedDataReader.cs,840,850,10,218,228,10
26,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/csharp/npgsql-MDEwOlJlcG9zaXRvcnkyODgzNTc0-flat-GlobalTypeMapper.cs-npgsql-MDEwOlJlcG9zaXRvcnkyODgzNTc0-flat-TypeMapper.cs-26.html,12,npgsql-MDEwOlJlcG9zaXRvcnkyODgzNTc0-flat-GlobalTypeMapper.cs,npgsql-MDEwOlJlcG9zaXRvcnkyODgzNTc0-flat-TypeMapper.cs,247,252,5,111,116,5
27,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/csharp/Security-MDEwOlJlcG9zaXRvcnkxNzcyMzY5OQ==-flat-ChunkingCookieManager_19.cs-Security-MDEwOlJlcG9zaXRvcnkxNzcyMzY5OQ==-flat-ChunkingCookieManager.cs-27.html,193,Security-MDEwOlJlcG9zaXRvcnkxNzcyMzY5OQ==-flat-ChunkingCookieManager_19.cs,Security-MDEwOlJlcG9zaXRvcnkxNzcyMzY5OQ==-flat-ChunkingCookieManager.cs,49,86,37,59,99,40
28,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/csharp/Security-MDEwOlJlcG9zaXRvcnkxNzcyMzY5OQ==-flat-CookieAuthenticationOptions.cs-Security-MDEwOlJlcG9zaXRvcnkxNzcyMzY5OQ==-flat-TwitterOptions.cs-28.html,16,Security-MDEwOlJlcG9zaXRvcnkxNzcyMzY5OQ==-flat-CookieAuthenticationOptions.cs,Security-MDEwOlJlcG9zaXRvcnkxNzcyMzY5OQ==-flat-TwitterOptions.cs,12,16,4,22,26,4
29,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/csharp/MudBlazor-MDEwOlJlcG9zaXRvcnkyODg0Mjg2NzY=-flat-MudAppBar.razor.cs-MudBlazor-MDEwOlJlcG9zaXRvcnkyODg0Mjg2NzY=-flat-MudField.razor.cs-29.html,13,MudBlazor-MDEwOlJlcG9zaXRvcnkyODg0Mjg2NzY=-flat-MudAppBar.razor.cs,MudBlazor-MDEwOlJlcG9zaXRvcnkyODg0Mjg2NzY=-flat-MudField.razor.cs,44,46,2,66,68,2
30,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/csharp/MudBlazor-MDEwOlJlcG9zaXRvcnkyODg0Mjg2NzY=-flat-TestContextExtensions.cs-MudBlazor-MDEwOlJlcG9zaXRvcnkyODg0Mjg2NzY=-flat-ApiDocsTests.cs-30.html,25,MudBlazor-MDEwOlJlcG9zaXRvcnkyODg0Mjg2NzY=-flat-TestContextExtensions.cs,MudBlazor-MDEwOlJlcG9zaXRvcnkyODg0Mjg2NzY=-flat-ApiDocsTests.cs,13,15,2,20,22,2
31,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/csharp/npgsql-MDEwOlJlcG9zaXRvcnkyODgzNTc0-flat-NpgsqlServiceCollectionExtensions.cs-npgsql-MDEwOlJlcG9zaXRvcnkyODgzNTc0-flat-NpgsqlServiceCollectionExtensions.cs-31.html,83,npgsql-MDEwOlJlcG9zaXRvcnkyODgzNTc0-flat-NpgsqlServiceCollectionExtensions.cs,npgsql-MDEwOlJlcG9zaXRvcnkyODgzNTc0-flat-NpgsqlServiceCollectionExtensions.cs,10,23,13,24,38,14
32,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/csharp/npgsql-MDEwOlJlcG9zaXRvcnkyODgzNTc0-flat-NpgsqlParameterCollectionTests.cs-npgsql-MDEwOlJlcG9zaXRvcnkyODgzNTc0-flat-NpgsqlParameterCollectionTests.cs-32.html,55,npgsql-MDEwOlJlcG9zaXRvcnkyODgzNTc0-flat-NpgsqlParameterCollectionTests.cs,npgsql-MDEwOlJlcG9zaXRvcnkyODgzNTc0-flat-NpgsqlParameterCollectionTests.cs,172,178,6,187,193,6
33,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/csharp/dotween-MDEwOlJlcG9zaXRvcnkzMjQ3NTE2Mg==-flat-LeanTween_56.cs-dotween-MDEwOlJlcG9zaXRvcnkzMjQ3NTE2Mg==-flat-LeanTween.cs-33.html,5142,dotween-MDEwOlJlcG9zaXRvcnkzMjQ3NTE2Mg==-flat-LeanTween_56.cs,dotween-MDEwOlJlcG9zaXRvcnkzMjQ3NTE2Mg==-flat-LeanTween.cs,37,811,774,37,811,774
34,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/csharp/npgsql-MDEwOlJlcG9zaXRvcnkyODgzNTc0-flat-ReadArray.cs-npgsql-MDEwOlJlcG9zaXRvcnkyODgzNTc0-flat-ReadArray.cs-34.html,35,npgsql-MDEwOlJlcG9zaXRvcnkyODgzNTc0-flat-ReadArray.cs,npgsql-MDEwOlJlcG9zaXRvcnkyODgzNTc0-flat-ReadArray.cs,31,35,4,47,51,4
35,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/csharp/MudBlazor-MDEwOlJlcG9zaXRvcnkyODg0Mjg2NzY=-flat-DialogParametersGeneric.cs-MudBlazor-MDEwOlJlcG9zaXRvcnkyODg0Mjg2NzY=-flat-DialogParametersGeneric.cs-35.html,23,MudBlazor-MDEwOlJlcG9zaXRvcnkyODg0Mjg2NzY=-flat-DialogParametersGeneric.cs,MudBlazor-MDEwOlJlcG9zaXRvcnkyODg0Mjg2NzY=-flat-DialogParametersGeneric.cs,21,25,4,30,34,4
