ID,Link,Similarity,Tokens,File 1,File 2,Start 1,End 1,Detected Lines 1,Start 2,End 2,Detected Lines 2
252359,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/C/android-gpuimage-plus-MDEwOlJlcG9zaXRvcnk0NjU0NzQxNw==-flat-pixfmt.h-fftw3-MDEwOlJlcG9zaXRvcnk4ODQzMzg4-flat-dht-rader.c.html,0.14325068870523416,11,android-gpuimage-plus-MDEwOlJlcG9zaXRvcnk0NjU0NzQxNw==-flat-pixfmt.h,fftw3-MDEwOlJlcG9zaXRvcnk4ODQzMzg4-flat-dht-rader.c,309,319,10,42,55,13
252643,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/C/xmrig-MDEwOlJlcG9zaXRvcnk4ODMyNzQwNg==-flat-impl-select.c-small-MDEwOlJlcG9zaXRvcnkyNTY3NjMxNjk=-flat-auth.c.html,0.029008863819500404,8,xmrig-MDEwOlJlcG9zaXRvcnk4ODMyNzQwNg==-flat-impl-select.c,small-MDEwOlJlcG9zaXRvcnkyNTY3NjMxNjk=-flat-auth.c,50,55,5,691,698,7
256164,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/C/libtomcrypt-MDEwOlJlcG9zaXRvcnk3NzcwMTE=-flat-dsa_import.c-libtomcrypt-MDEwOlJlcG9zaXRvcnk3NzcwMTE=-flat-dh_test.c.html,0.13691931540342298,8,libtomcrypt-MDEwOlJlcG9zaXRvcnk3NzcwMTE=-flat-dsa_import.c,libtomcrypt-MDEwOlJlcG9zaXRvcnk3NzcwMTE=-flat-dh_test.c,74,81,7,10,11,1
256208,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/C/libtomcrypt-MDEwOlJlcG9zaXRvcnk3NzcwMTE=-flat-tweetnacl.c-redis-MDEwOlJlcG9zaXRvcnkxMDgxMTA3MDY=-flat-jemalloc.c.html,0.016784155756965426,8,libtomcrypt-MDEwOlJlcG9zaXRvcnk3NzcwMTE=-flat-tweetnacl.c,redis-MDEwOlJlcG9zaXRvcnkxMDgxMTA3MDY=-flat-jemalloc.c,66,70,4,373,377,4
256995,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/C/xmrig-MDEwOlJlcG9zaXRvcnk4ODMyNzQwNg==-flat-WorkerJob.h-fftw3-MDEwOlJlcG9zaXRvcnk4ODQzMzg4-flat-md5.c.html,0.042328042328042326,8,xmrig-MDEwOlJlcG9zaXRvcnk4ODMyNzQwNg==-flat-WorkerJob.h,fftw3-MDEwOlJlcG9zaXRvcnk4ODQzMzg4-flat-md5.c,53,58,5,51,52,1
257878,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/C/PINRemoteImage-MDEwOlJlcG9zaXRvcnkzOTUzNzEwMw==-flat-picture_psnr_enc.c-PINRemoteImage-MDEwOlJlcG9zaXRvcnkzOTUzNzEwMw==-flat-analysis_enc.c.html,0.09297297297297297,8,PINRemoteImage-MDEwOlJlcG9zaXRvcnkzOTUzNzEwMw==-flat-picture_psnr_enc.c,PINRemoteImage-MDEwOlJlcG9zaXRvcnkzOTUzNzEwMw==-flat-analysis_enc.c,81,86,5,265,272,7
257972,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/C/redis-MDEwOlJlcG9zaXRvcnkxMDgxMTA3MDY=-flat-t_list.c-Adafruit_nRF52_Arduino-MDEwOlJlcG9zaXRvcnk3NDM1NDcyOQ==-flat-bignum.c.html,0.03946719289590528,8,redis-MDEwOlJlcG9zaXRvcnkxMDgxMTA3MDY=-flat-t_list.c,Adafruit_nRF52_Arduino-MDEwOlJlcG9zaXRvcnk3NDM1NDcyOQ==-flat-bignum.c,302,306,4,222,226,4
258118,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/C/libpcap-MDEwOlJlcG9zaXRvcnk5NDM1ODg3-flat-bpf_image.c-PINRemoteImage-MDEwOlJlcG9zaXRvcnkzOTUzNzEwMw==-flat-alpha_processing.c.html,0.03513513513513514,13,libpcap-MDEwOlJlcG9zaXRvcnk5NDM1ODg3-flat-bpf_image.c,PINRemoteImage-MDEwOlJlcG9zaXRvcnkzOTUzNzEwMw==-flat-alpha_processing.c,20,55,35,335,351,16
258567,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/C/xmrig-MDEwOlJlcG9zaXRvcnk4ODMyNzQwNg==-flat-sph_groestl.c-PINRemoteImage-MDEwOlJlcG9zaXRvcnkzOTUzNzEwMw==-flat-iterator_enc.c.html,0.06257521058965103,9,xmrig-MDEwOlJlcG9zaXRvcnk4ODMyNzQwNg==-flat-sph_groestl.c,PINRemoteImage-MDEwOlJlcG9zaXRvcnkzOTUzNzEwMw==-flat-iterator_enc.c,2555,2570,15,25,34,9
259267,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/C/Adafruit_nRF52_Arduino-MDEwOlJlcG9zaXRvcnk3NDM1NDcyOQ==-flat-SEGGER_SYSVIEW_FreeRTOS.c-redis-MDEwOlJlcG9zaXRvcnkxMDgxMTA3MDY=-flat-win32_wsiocp.c.html,0.027303754266211604,8,Adafruit_nRF52_Arduino-MDEwOlJlcG9zaXRvcnk3NDM1NDcyOQ==-flat-SEGGER_SYSVIEW_FreeRTOS.c,redis-MDEwOlJlcG9zaXRvcnkxMDgxMTA3MDY=-flat-win32_wsiocp.c,34,40,6,118,123,5
