ID,Link,Similarity,Tokens,File 1,File 2,Start 1,End 1,Detected Lines 1,Start 2,End 2,Detected Lines 2
1154667,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Cpp/subconverter-MDEwOlJlcG9zaXRvcnkyMTg2ODY3NjM=-flat-webserver_libevent.cpp-abseil-cpp-MDEwOlJlcG9zaXRvcnkxMDQyMzE1NDE=-flat-inlined_vector_test.cc.html,0.022727272727272728,9,subconverter-MDEwOlJlcG9zaXRvcnkyMTg2ODY3NjM=-flat-webserver_libevent.cpp,abseil-cpp-MDEwOlJlcG9zaXRvcnkxMDQyMzE1NDE=-flat-inlined_vector_test.cc,51,54,3,355,379,24
1159154,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Cpp/snap-MDEwOlJlcG9zaXRvcnk0Mjg4MzU3-flat-wgtnet.cpp-snap-MDEwOlJlcG9zaXRvcnk0Mjg4MzU3-flat-conv.h.html,0.08723336517032793,11,snap-MDEwOlJlcG9zaXRvcnk0Mjg4MzU3-flat-wgtnet.cpp,snap-MDEwOlJlcG9zaXRvcnk0Mjg4MzU3-flat-conv.h,276,279,3,1064,1067,3
1160112,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Cpp/tesseract-MDEwOlJlcG9zaXRvcnkyMjg4NzA5NA==-flat-language_model.cpp-notepad-plus-plus-MDEwOlJlcG9zaXRvcnkzMzAxNDgxMQ==-flat-preferenceDlg.cpp.html,0.04471321238775884,13,tesseract-MDEwOlJlcG9zaXRvcnkyMjg4NzA5NA==-flat-language_model.cpp,notepad-plus-plus-MDEwOlJlcG9zaXRvcnkzMzAxNDgxMQ==-flat-preferenceDlg.cpp,895,901,6,1710,1723,13
1160467,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Cpp/caffe-MDEwOlJlcG9zaXRvcnk2MTg3MDgwMw==-flat-gmock-cardinalities.cc-abseil-cpp-MDEwOlJlcG9zaXRvcnkxMDQyMzE1NDE=-flat-cord_analysis.cc.html,0.09195402298850575,12,caffe-MDEwOlJlcG9zaXRvcnk2MTg3MDgwMw==-flat-gmock-cardinalities.cc,abseil-cpp-MDEwOlJlcG9zaXRvcnkxMDQyMzE1NDE=-flat-cord_analysis.cc,65,71,6,98,104,6
1163685,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Cpp/abseil-cpp-MDEwOlJlcG9zaXRvcnkxMDQyMzE1NDE=-flat-cord_rep_ring.cc-MMKV-MDEwOlJlcG9zaXRvcnkxNDkxMTE4MTM=-flat-MMKV_IO.cpp.html,0.06547960941987363,10,abseil-cpp-MDEwOlJlcG9zaXRvcnkxMDQyMzE1NDE=-flat-cord_rep_ring.cc,MMKV-MDEwOlJlcG9zaXRvcnkxNDkxMTE4MTM=-flat-MMKV_IO.cpp,116,126,10,933,940,7
1174832,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Cpp/caffe-MDEwOlJlcG9zaXRvcnk2MTg3MDgwMw==-flat-net.hpp-caffe-MDEwOlJlcG9zaXRvcnk2MTg3MDgwMw==-flat-gmock-generated-actions.h.html,0.04527712724434036,10,caffe-MDEwOlJlcG9zaXRvcnk2MTg3MDgwMw==-flat-net.hpp,caffe-MDEwOlJlcG9zaXRvcnk2MTg3MDgwMw==-flat-gmock-generated-actions.h,234,246,12,624,625,1
1178969,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Cpp/snap-MDEwOlJlcG9zaXRvcnk0Mjg4MzU3-flat-postag.cpp-caffe-MDEwOlJlcG9zaXRvcnk2MTg3MDgwMw==-flat-bbox_util.cpp.html,0.09916974169741698,12,snap-MDEwOlJlcG9zaXRvcnk0Mjg4MzU3-flat-postag.cpp,caffe-MDEwOlJlcG9zaXRvcnk2MTg3MDgwMw==-flat-bbox_util.cpp,205,210,5,2209,2212,3
1184588,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Cpp/snap-MDEwOlJlcG9zaXRvcnk0Mjg4MzU3-flat-demo-TNodeEDatNet.cpp-snap-MDEwOlJlcG9zaXRvcnk0Mjg4MzU3-flat-unicode.cpp.html,0.013883532587736213,9,snap-MDEwOlJlcG9zaXRvcnk0Mjg4MzU3-flat-demo-TNodeEDatNet.cpp,snap-MDEwOlJlcG9zaXRvcnk0Mjg4MzU3-flat-unicode.cpp,48,50,2,530,534,4
1185294,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Cpp/caffe-MDEwOlJlcG9zaXRvcnk2MTg3MDgwMw==-flat-psroi_pooling_layer.cpp-snap-MDEwOlJlcG9zaXRvcnk0Mjg4MzU3-flat-bowflx.cpp.html,0.08285004142502071,10,caffe-MDEwOlJlcG9zaXRvcnk2MTg3MDgwMw==-flat-psroi_pooling_layer.cpp,snap-MDEwOlJlcG9zaXRvcnk0Mjg4MzU3-flat-bowflx.cpp,100,104,4,526,532,6
1187193,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Cpp/caffe-MDEwOlJlcG9zaXRvcnk2MTg3MDgwMw==-flat-test_mkldnn_convolution_layer.cpp-snap-MDEwOlJlcG9zaXRvcnk0Mjg4MzU3-flat-graph_2.cpp.html,0.0375487070492384,13,caffe-MDEwOlJlcG9zaXRvcnk2MTg3MDgwMw==-flat-test_mkldnn_convolution_layer.cpp,snap-MDEwOlJlcG9zaXRvcnk0Mjg4MzU3-flat-graph_2.cpp,818,828,10,377,383,6
