ID,Link,Similarity,Tokens,File 1,File 2,Start 1,End 1,Detected Lines 1,Start 2,End 2,Detected Lines 2
222203,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Cpp-beta/caffe-MDEwOlJlcG9zaXRvcnk2MTg3MDgwMw==-flat-test_gradient_check_util.hpp-snap-MDEwOlJlcG9zaXRvcnk0Mjg4MzU3-flat-ontolight.cpp.html,0.10143329658213891,10,caffe-MDEwOlJlcG9zaXRvcnk2MTg3MDgwMw==-flat-test_gradient_check_util.hpp,snap-MDEwOlJlcG9zaXRvcnk0Mjg4MzU3-flat-ontolight.cpp,113,117,4,48,50,2
222236,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Cpp-beta/snap-MDEwOlJlcG9zaXRvcnk0Mjg4MzU3-flat-fl.cpp-nano-node-MDEwOlJlcG9zaXRvcnkxOTM0NzM0MA==-flat-node.cpp.html,0.024938938166859492,10,snap-MDEwOlJlcG9zaXRvcnk0Mjg4MzU3-flat-fl.cpp,nano-node-MDEwOlJlcG9zaXRvcnkxOTM0NzM0MA==-flat-node.cpp,99,104,5,53,61,8
234736,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Cpp-beta/notepad-plus-plus-MDEwOlJlcG9zaXRvcnkzMzAxNDgxMQ==-flat-TabBar.h-caffe-MDEwOlJlcG9zaXRvcnk2MTg3MDgwMw==-flat-gtest-internal-inl.h.html,0.24078624078624078,9,notepad-plus-plus-MDEwOlJlcG9zaXRvcnkzMzAxNDgxMQ==-flat-TabBar.h,caffe-MDEwOlJlcG9zaXRvcnk2MTg3MDgwMw==-flat-gtest-internal-inl.h,62,68,6,306,314,8
236027,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Cpp-beta/snap-MDEwOlJlcG9zaXRvcnk0Mjg4MzU3-flat-btaServer.h-tesseract-MDEwOlJlcG9zaXRvcnkyMjg4NzA5NA==-flat-oldbasel.cpp.html,0.25513513513513514,16,snap-MDEwOlJlcG9zaXRvcnk0Mjg4MzU3-flat-btaServer.h,tesseract-MDEwOlJlcG9zaXRvcnkyMjg4NzA5NA==-flat-oldbasel.cpp,50,53,3,352,367,15
249497,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Cpp-beta/snap-MDEwOlJlcG9zaXRvcnk0Mjg4MzU3-flat-appsrv.cpp-nano-node-MDEwOlJlcG9zaXRvcnkxOTM0NzM0MA==-flat-entry_11.cpp.html,0.06968973747016706,14,snap-MDEwOlJlcG9zaXRvcnk0Mjg4MzU3-flat-appsrv.cpp,nano-node-MDEwOlJlcG9zaXRvcnkxOTM0NzM0MA==-flat-entry_11.cpp,120,126,6,51,51,0
258791,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Cpp-beta/snap-MDEwOlJlcG9zaXRvcnk0Mjg4MzU3-flat-corrgr.cpp-snap-MDEwOlJlcG9zaXRvcnk0Mjg4MzU3-flat-nmen.cpp.html,0.18435155412647375,10,snap-MDEwOlJlcG9zaXRvcnk0Mjg4MzU3-flat-corrgr.cpp,snap-MDEwOlJlcG9zaXRvcnk0Mjg4MzU3-flat-nmen.cpp,269,272,3,481,486,5
259528,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Cpp-beta/snap-MDEwOlJlcG9zaXRvcnk0Mjg4MzU3-flat-kronfit.cpp-nano-node-MDEwOlJlcG9zaXRvcnkxOTM0NzM0MA==-flat-voting.cpp.html,0.07867494824016563,10,snap-MDEwOlJlcG9zaXRvcnk0Mjg4MzU3-flat-kronfit.cpp,nano-node-MDEwOlJlcG9zaXRvcnkxOTM0NzM0MA==-flat-voting.cpp,49,54,5,14,20,6
271165,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Cpp-beta/abseil-cpp-MDEwOlJlcG9zaXRvcnkxMDQyMzE1NDE=-flat-distribution_test_util.cc-snap-MDEwOlJlcG9zaXRvcnk0Mjg4MzU3-flat-google.cpp.html,0.030738720872583045,10,abseil-cpp-MDEwOlJlcG9zaXRvcnkxMDQyMzE1NDE=-flat-distribution_test_util.cc,snap-MDEwOlJlcG9zaXRvcnk0Mjg4MzU3-flat-google.cpp,287,291,4,301,305,4
281227,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Cpp-beta/tesseract-MDEwOlJlcG9zaXRvcnkyMjg4NzA5NA==-flat-ocrblock.cpp-tesseract-MDEwOlJlcG9zaXRvcnkyMjg4NzA5NA==-flat-ratngs.cpp.html,0.08689558514365803,9,tesseract-MDEwOlJlcG9zaXRvcnkyMjg4NzA5NA==-flat-ocrblock.cpp,tesseract-MDEwOlJlcG9zaXRvcnkyMjg4NzA5NA==-flat-ratngs.cpp,36,39,3,565,570,5
295232,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Cpp-beta/notepad-plus-plus-MDEwOlJlcG9zaXRvcnkzMzAxNDgxMQ==-flat-Editor.h-notepad-plus-plus-MDEwOlJlcG9zaXRvcnkzMzAxNDgxMQ==-flat-Parameters.cpp.html,0.01735828586927041,9,notepad-plus-plus-MDEwOlJlcG9zaXRvcnkzMzAxNDgxMQ==-flat-Editor.h,notepad-plus-plus-MDEwOlJlcG9zaXRvcnkzMzAxNDgxMQ==-flat-Parameters.cpp,98,102,4,889,895,6
